x,y,x_ref,y_ref
-2.710310220718384,-2.1758956909179683,-2.452513358916611,-2.179244900856708
-2.446462392807007,-2.028579473495483,-2.371450730268514,-2.130793801131261
-2.348963737487793,-1.9683001041412347,-2.289556872124512,-2.079428115131394
-2.2648770809173584,-1.9153571128845208,-2.2068600830983716,-2.025218834854306
-2.195591926574707,-1.869613051414489,-2.1233889392584913,-1.9682408824002013
-2.097820520401001,-1.8048743009567254,-2.039172284253387,-1.9085730064232125
-2.0139737129211426,-1.747577786445617,-1.9542392193446922,-1.846297673293672
-1.943945288658142,-1.699141860008239,-1.8686190933511628,-1.781500953122182
-1.831244707107544,-1.6207659244537347,-1.7823414925071155,-1.7142724008029735
-1.760668158531189,-1.5691267251968377,-1.6954362302388275,-1.6447049322409943
-1.6754430532455444,-1.5070960521697991,-1.607933336862446,-1.5728946959337702
-1.5900423526763916,-1.4441690444946282,-1.519863049206954,-1.4989409400855367
-1.4905575513839722,-1.3687794208526605,-1.4312558001657347,-1.42294587543729
-1.4187686443328857,-1.3142025470733636,-1.3421422081804484,-1.3450145340023607
-1.3312370777130127,-1.2475521564483636,-1.2525530666607285,-1.265254623902721
-1.1983009576797485,-1.1449682712554925,-1.162519333343459,-1.1837763805066734
-1.1105451583862305,-1.073197960853576,-1.07207211959527,-1.1006924140736631
-1.0229580402374268,-0.9993105530738824,-0.981242679661902,-1.0161175541167635
-0.9347798824310303,-0.9237747788429254,-0.8900623998682637,-0.9301686906979751
-0.8316150903701782,-0.8327242732048028,-0.798562787772782,-0.8429646128756404
-0.7429062128067017,-0.7534659504890435,-0.7067754612799062,-0.7546258445272848
-0.6523412466049194,-0.6713765859603875,-0.6147321377144803,-0.6652744777747817
-0.5610223412513733,-0.5877156257629388,-0.5224646228617161,-0.5750340042420524
-0.45486199855804443,-0.48912957310676514,-0.43000479997666585,-0.48402914437854944
-0.3650115728378296,-0.40274056792259155,-0.24463608435201195,-0.3002302558752756
-0.18603868782520294,-0.22812908887863095,-0.1517912462046139,-0.20769025382784612
-0.1267797350883484,-0.16899740695953305,-0.058882187075109005,-0.11489356754672443
0.00642644427716732,-0.036692786961793254,0.12700016326376684,0.07095666675221839
0.1524360179901123,0.10935346037149495,0.2199092223932717,0.16375335303334004
0.282866895198822,0.24030309915542666,0.3127540605406698,0.2562933550807695
0.3690272867679596,0.32743212580680914,0.4055025949555151,0.3484487742898646
0.455348938703537,0.4137173295021064,0.49812277616532363,0.4400922435840433
0.5406566858291626,0.49931940436363287,0.6828501139031382,0.6213375769802757
0.6839132905006409,0.6390362977981574,0.7748934374685641,0.7106889437327789
0.7990748882293701,0.743629157543183,0.8666807639614399,0.7990277120811345
0.8857066035270691,0.8212779760360724,0.9581803760569216,0.8862317899034693
1.018842339515686,0.9321729540824897,1.140190095783928,1.056755513279157
1.1508122682571411,1.0411000251770026,1.2306373095321168,1.1398394797121676
1.236816644668579,1.1115484237670905,1.3206710428493862,1.221317723108215
1.3373596668243408,1.1931263208389289,1.4102601843691065,1.301077633207855
1.4372413158416748,1.2753529548645026,1.4993737763543926,1.379008974642784
1.5227482318878174,1.3452925682067878,1.5879810253956117,1.4550040392910308
1.6215600967407227,1.423755884170533,1.6760513130511039,1.5289577951392646
1.719465732574463,1.4999170303344733,1.7635542064274856,1.6007680314464887
1.8176791667938232,1.5749605894088752,1.9367370695398205,1.737564052327676
1.9450777769088745,1.66886854171753,2.0223571955333504,1.8023607724991666
2.043914794921875,1.739998102188111,2.107290260442041,1.8646361056287055
2.143500566482544,1.8082480430603034,2.2749780592870295,1.9812819340598
2.2948246002197266,1.9088324308395392,2.3576748483131698,2.035491214336888
2.3879523277282715,1.9680672883987433,2.439568706457172,2.086856900336755
2.4794538021087646,2.0226097106933603,2.6008347228769857,2.180777549736361
2.619736433029175,2.0985984802246103,2.6801511553045447,2.223202706352657
2.6954240798950195,2.1354248523712167,2.758553224409654,2.2625248345294904
2.7702958583831787,2.169971704483033,2.836013838174403,2.2986895875496125
2.8670973777770996,2.2111146450042733,2.912506229902965,2.3316469824721726
2.9368836879730225,2.2375061511993417,3.062480962458828,2.387761993502103
3.0518274307250977,2.2747678756713876,3.1359114791673637,2.4108420536179938
3.119607925415039,2.2913687229156503,3.208270143510127,2.430559750842714
3.209197998046875,2.309509277343751,3.279531951781816,2.446887833545552
3.2860195636749268,2.319136619567872,3.349672279298306,2.459803734847882
3.36283278465271,2.3276057243347177,3.4186668889057703,2.4692896038126206
3.4297454357147217,2.330010414123536,3.553123993544187,2.4779235621663407
