t,m0,m1,m2,m3,px,py,pz
0.012234910277324634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09787928221859707,0.0,0.0,0.0,0.0,-1.335199999985548e-05,7.630000000702353e-06,-0.0025336149999999336
0.1835236541598695,0.0,0.0,0.0,0.0,-0.00011825600000037184,6.580400000011366e-05,-0.0037862659999999826
0.26916802610114193,0.0,0.0,0.0,0.0,-0.00020027200000072298,9.632099999912214e-05,-0.005035459999999992
0.3548123980424144,0.0,0.0,0.0,0.0,-0.00039482100000043374,0.00014209799999953532,-0.007987379999999988
0.44045676998368677,0.0,0.0,0.0,0.0,-0.0005435949999998968,0.00016021699999946293,-0.00962615
0.5261011419249593,0.0,0.0,0.0,0.0,-0.0007095340000020656,0.00013351499999991745,-0.011509776000000027
0.6117455138662317,0.0,0.0,0.0,0.0,-0.0009021760000003098,0.00020313299999941137,-0.011697351999999994
0.697389885807504,0.0,0.0,0.0,0.0,-0.0011005399999994836,0.00011825600000037184,-0.014206528999999968
0.7830342577487766,0.0,0.0,0.0,0.0,-0.0012550359999998761,0.00016021699999946293,-0.014837443999999977
0.8686786296900489,0.0,0.0,0.0,0.0,-0.0014362339999998142,0.00018691999999909115,-0.016223549999999975
0.9543230016313213,0.0,0.0,0.0,0.0,-0.001575469999998802,0.00025653900000044416,-0.018912554000000026
1.0399673735725938,0.0,0.0,0.0,0.0,-0.0016384130000020036,0.00043678299999960757,-0.018999695999999955
1.1256117455138663,0.0,0.0,0.0,0.0,-0.0016975400000021068,0.0005502699999997418,-0.02255576800000003
1.2112561174551386,0.0,0.0,0.0,0.0,-0.0016651160000016318,0.0007524490000001549,-0.02292966799999996
1.2969004893964111,0.0,0.0,0.0,0.0,-0.0016078949999993597,0.000838279999999969,-0.02498060499999999
1.3825448613376836,0.0,0.0,0.0,0.0,-0.0015811919999997315,0.0009326939999994011,-0.027355938999999996
1.468189233278956,0.0,0.0,0.0,0.0,-0.0016098020000008262,0.0010662079999992358,-0.02817434099999999
1.5538336052202284,0.0,0.0,0.0,0.0,-0.0016841889999987814,0.0012464530000002583,-0.032153993999999964
1.639477977161501,0.0,0.0,0.0,0.0,-0.001775741999999525,0.0013132099999992874,-0.03397026599999997
1.7251223491027732,0.0,0.0,0.0,0.0,-0.0018768310000005783,0.0013532640000004648,-0.03698378799999996
1.8107667210440457,0.0,0.0,0.0,0.0,-0.0019741059999986987,0.0014343260000000413,-0.03728440399999999
1.8964110929853182,0.0,0.0,0.0,0.0,-0.0020694729999988226,0.0014867780000002995,-0.03975230399999996
1.9820554649265905,0.0,0.0,0.0,0.0,-0.0020999910000014665,0.0015773780000003512,-0.04114374500000001
2.067699836867863,0.0,0.0,0.0,0.0,-0.002086640000001694,0.0016098019999990498,-0.042391299999999965
2.1533442088091355,0.0,0.0,0.0,0.0,-0.002098084,0.0016565320000001549,-0.04565772400000001
2.2389885807504077,0.0,0.0,0.0,0.0,-0.0021038060000009295,0.0018234249999995455,-0.04546308499999996
2.3246329526916805,0.0,0.0,0.0,0.0,-0.0021610259999995662,0.00197887400000063,-0.04749640799999999
2.4102773246329527,0.0,0.0,0.0,0.0,-0.0022144319999988227,0.0021829609999990396,-0.049054443999999975
2.495921696574225,0.0,0.0,0.0,0.0,-0.0023117070000004958,0.002434730999999246,-0.049744487000000004
2.5815660685154977,0.0,0.0,0.0,0.0,-0.0024070740000006197,0.0026407239999990395,-0.052563011999999965
2.66721044045677,0.0,0.0,0.0,0.0,-0.002477645999999112,0.002888679999999866,-0.05267745199999996
2.7528548123980423,0.0,0.0,0.0,0.0,-0.0025806430000017144,0.0030832289999995766,-0.05431798099999996
2.838499184339315,0.0,0.0,0.0,0.0,-0.002582549999999628,0.0034246449999990602,-0.05644634399999998
2.9241435562805873,0.0,0.0,0.0,0.0,-0.0025844580000011774,0.0036058429999989983,-0.05879476699999997
3.0097879282218596,0.0,0.0,0.0,0.0,-0.002496719999999897,0.0037469869999995353,-0.059833585999999994
3.0954323001631323,0.0,0.0,0.0,0.0,-0.0023574830000008262,0.003831864000000351,-0.060844540999999974
3.1810766721044046,0.0,0.0,0.0,0.0,-0.0022468569999993804,0.003912925999999928,-0.06399190399999999
3.266721044045677,0.0,0.0,0.0,0.0,-0.002071381000000372,0.003940582000000248,-0.06340283099999999
3.3523654159869496,0.0,0.0,0.0,0.0,-0.001909256000001136,0.0038938519999991428,-0.06526997699999998
3.438009787928222,0.0,0.0,0.0,0.0,-0.001775741999999525,0.0038003920000004854,-0.06677144800000001
3.523654159869494,0.0,0.0,0.0,0.0,-0.0016365050000004544,0.0036735540000005784,-0.067208618
3.609298531810767,0.0,0.0,0.0,0.0,-0.0015258789999990086,0.003547668999999587,-0.06977882999999996
3.694942903752039,0.0,0.0,0.0,0.0,-0.0014762879999992151,0.0034055710000000516,-0.06960770499999996
3.7805872756933114,0.0,0.0,0.0,0.0,-0.0014438629999986574,0.003251075999999742,-0.07091802399999997
3.866231647634584,0.0,0.0,0.0,0.0,-0.0014762879999992151,0.0031251910000005267,-0.07290264999999996
3.9518760195758564,0.0,0.0,0.0,0.0,-0.0014686590000003719,0.0029716489999991325,-0.072895765
4.037520391517129,0.0,0.0,0.0,0.0,-0.0015144350000007023,0.0028495789999993804,-0.075141966
4.123164763458401,0.0,0.0,0.0,0.0,-0.0014705660000018383,0.002582549999999628,-0.07610678700000001
4.208809135399674,0.0,0.0,0.0,0.0,-0.0014724729999997521,0.002329827000000506,-0.07886716699999996
4.294453507340946,0.0,0.0,0.0,0.0,-0.001409531000000186,0.0021247869999996283,-0.077902943
4.380097879282219,0.0,0.0,0.0,0.0,-0.0013580319999988433,0.0018892289999996592,-0.07929658899999997
4.465742251223491,0.0,0.0,0.0,0.0,-0.0013732910000001652,0.0017557149999998245,-0.08014380900000001
4.551386623164763,0.0,0.0,0.0,0.0,-0.0013561250000009295,0.001564979999999494,-0.07980111200000001
4.637030995106036,0.0,0.0,0.0,0.0,-0.0012931830000013633,0.0014352799999990395,-0.08188721499999996
4.722675367047309,0.0,0.0,0.0,0.0,-0.0012969970000007436,0.0014295579999998864,-0.08120450400000001
4.808319738988581,0.0,0.0,0.0,0.0,-0.0013160710000015285,0.001496315000000692,-0.08215162100000001
4.893964110929853,0.0,0.0,0.0,0.0,-0.0013580319999988433,0.0015563969999998761,-0.08348166899999998
4.979608482871126,0.0,0.0,0.0,0.0,-0.001413345999999649,0.001771927000000062,-0.08320885899999997
5.065252854812398,0.0,0.0,0.0,0.0,-0.0015621189999990293,0.0019159319999992874,-0.08549046499999996
5.150897226753671,0.0,0.0,0.0,0.0,-0.001672745000000475,0.0021018979999993803,-0.08557528199999997
5.236541598694943,0.0,0.0,0.0,0.0,-0.0019111639999991326,0.002243996000000692,-0.08653652699999997
5.322185970636215,0.0,0.0,0.0,0.0,-0.0021209720000001653,0.0024385450000004028,-0.08873695100000001
5.407830342577488,0.0,0.0,0.0,0.0,-0.0025653840000003925,0.002593993999999711,-0.089332193
5.493474714518761,0.0,0.0,0.0,0.0,-0.002775192000001425,0.0027141569999997728,-0.09027305199999996
5.579119086460032,0.0,0.0,0.0,0.0,-0.0029754639999985955,0.002869605999999081,-0.09028693999999998
5.664763458401305,0.0,0.0,0.0,0.0,-0.003156662000002086,0.0030641560000006507,-0.092334568
5.750407830342578,0.0,0.0,0.0,0.0,-0.003236771000000971,0.0033226019999990086,-0.091458023
5.83605220228385,0.0,0.0,0.0,0.0,-0.0033016210000020862,0.0036058429999989983,-0.09226030099999999
5.921696574225122,0.0,0.0,0.0,0.0,-0.0033092500000009295,0.00390625,-0.09333419799999998
6.007340946166395,0.0,0.0,0.0,0.0,-0.003273010000000909,0.004176140000000217,-0.09258750099999996
6.092985318107667,0.0,0.0,0.0,0.0,-0.0032386779999988846,0.004545212000000021,-0.09415590800000001
6.17862969004894,0.0,0.0,0.0,0.0,-0.0030727390000002686,0.0047369009999993494,-0.09334781799999997
6.264274061990212,0.0,0.0,0.0,0.0,-0.0029125219999990293,0.00494766299999938,-0.09349122599999998
6.349918433931484,0.0,0.0,0.0,0.0,-0.0028095249999999794,0.005089760000000609,-0.094996631
6.435562805872757,0.0,0.0,0.0,0.0,-0.002618789999999649,0.005134583000000248,-0.09360036199999999
6.52120717781403,0.0,0.0,0.0,0.0,-0.002452851000001033,0.005161285999999876,-0.09467473599999998
6.6068515497553015,0.0,0.0,0.0,0.0,-0.002248764000000847,0.005103111000000382,-0.09457674599999999
6.692495921696574,0.0,0.0,0.0,0.0,-0.0016803739999993184,0.004472733000000062,-0.09482642999999996
6.778140293637847,0.0,0.0,0.0,0.0,-0.001516341999998616,0.004196166999999917,-0.096037924
6.863784665579119,0.0,0.0,0.0,0.0,-0.0013675689999992358,0.0038995740000000723,-0.09583160299999999
6.9494290375203915,0.0,0.0,0.0,0.0,-0.0012931830000013633,0.003600120999999845,-0.095643759
7.035073409461664,0.0,0.0,0.0,0.0,-0.0012569430000013426,0.0033235549999997005,-0.09775456799999999
7.120717781402936,0.0,0.0,0.0,0.0,-0.0012111670000010122,0.003058433999999721,-0.09600084999999997
7.206362153344209,0.0,0.0,0.0,0.0,-0.001228333000000248,0.0028581620000007746,-0.09679189299999996
