__time,/fmu/out/actuator_outputs/noutputs,/fmu/out/actuator_outputs/output[0],/fmu/out/actuator_outputs/output[10],/fmu/out/actuator_outputs/output[11],/fmu/out/actuator_outputs/output[12],/fmu/out/actuator_outputs/output[13],/fmu/out/actuator_outputs/output[14],/fmu/out/actuator_outputs/output[15],/fmu/out/actuator_outputs/output[1],/fmu/out/actuator_outputs/output[2],/fmu/out/actuator_outputs/output[3],/fmu/out/actuator_outputs/output[4],/fmu/out/actuator_outputs/output[5],/fmu/out/actuator_outputs/output[6],/fmu/out/actuator_outputs/output[7],/fmu/out/actuator_outputs/output[8],/fmu/out/actuator_outputs/output[9],/fmu/out/actuator_outputs/timestamp,/fmu/out/vehicle_odometry/angular_velocity[0],/fmu/out/vehicle_odometry/angular_velocity[1],/fmu/out/vehicle_odometry/angular_velocity[2],/fmu/out/vehicle_odometry/orientation_variance[0],/fmu/out/vehicle_odometry/orientation_variance[1],/fmu/out/vehicle_odometry/orientation_variance[2],/fmu/out/vehicle_odometry/pose_frame,/fmu/out/vehicle_odometry/position[0],/fmu/out/vehicle_odometry/position[1],/fmu/out/vehicle_odometry/position[2],/fmu/out/vehicle_odometry/position_variance[0],/fmu/out/vehicle_odometry/position_variance[1],/fmu/out/vehicle_odometry/position_variance[2],/fmu/out/vehicle_odometry/q[0],/fmu/out/vehicle_odometry/q[1],/fmu/out/vehicle_odometry/q[2],/fmu/out/vehicle_odometry/q[3],/fmu/out/vehicle_odometry/quality,/fmu/out/vehicle_odometry/reset_counter,/fmu/out/vehicle_odometry/timestamp,/fmu/out/vehicle_odometry/timestamp_sample,/fmu/out/vehicle_odometry/velocity[0],/fmu/out/vehicle_odometry/velocity[1],/fmu/out/vehicle_odometry/velocity[2],/fmu/out/vehicle_odometry/velocity_frame,/fmu/out/vehicle_odometry/velocity_variance[0],/fmu/out/vehicle_odometry/velocity_variance[1],/fmu/out/vehicle_odometry/velocity_variance[2],py,pz
1723722467.220234,,,,,,,,,,,,,,,,,,,0.002120065,-0.000635381,0.000364089,0.000048528,0.000063699,0.026046112,1.000000000,30.542453766,8.284622192,-0.525214612,0.000113096,0.000113105,0.101165518,0.982888162,-0.015425594,0.017017100,-0.182766214,0.000000000,17.000000000,1723722467211879.000000000,1723722467210065.000000000,0.001601521,0.004907855,0.108907990,1.000000000,0.000991468,0.000991511,0.003525032,-8.284622192,0.525214612
1723722467.227621,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467216292.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.234272,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467226316.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.234335,,,,,,,,,,,,,,,,,,,0.000827941,0.000885790,-0.001786644,0.000048584,0.000063744,0.026047705,1.000000000,30.542449951,8.284622192,-0.524751961,0.000118986,0.000118995,0.101328842,0.982885957,-0.015427620,0.017015532,-0.182778224,0.000000000,17.000000000,1723722467223380.000000000,1723722467221579.000000000,0.001235454,0.005010152,0.109350100,1.000000000,0.001016714,0.001016715,0.003541140,-8.284622192,0.524751961
1723722467.247044,,,,,,,,,,,,,,,,,,,-0.001558971,0.002025492,0.001327641,0.000048652,0.000063815,0.026049366,1.000000000,30.542442322,8.284621239,-0.524335802,0.000125507,0.000125516,0.101502262,0.982884765,-0.015436538,0.017026117,-0.182782590,0.000000000,17.000000000,1723722467234877.000000000,1723722467233094.000000000,0.001167146,0.005127144,0.109492071,1.000000000,0.001044533,0.001044500,0.003559059,-8.284621239,0.524335802
1723722467.247318,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467236326.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.256456,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467246339.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.256499,,,,,,,,,,,,,,,,,,,-0.001792261,0.000690781,0.000384833,0.000048695,0.000063870,0.026051130,1.000000000,30.542434692,8.284625053,-0.523823082,0.000132607,0.000132617,0.101683177,0.982883990,-0.015440663,0.017032886,-0.182786077,0.000000000,17.000000000,1723722467246416.000000000,1723722467245610.000000000,0.000938604,0.005189197,0.109793715,1.000000000,0.001074282,0.001074238,0.003578311,-8.284625053,0.523823082
1723722467.268119,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467256342.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.270799,,,,,,,,,,,,,,,,,,,0.000388233,0.000793729,0.000508634,0.000048751,0.000063936,0.026052773,1.000000000,30.542425156,8.284631729,-0.523272932,0.000139676,0.000139686,0.101855889,0.982882380,-0.015440627,0.017037893,-0.182793960,0.000000000,17.000000000,1723722467257964.000000000,1723722467257000.000000000,0.000851335,0.005370084,0.109934278,1.000000000,0.001101862,0.001101831,0.003595700,-8.284631729,0.523272932
1723722467.272034,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467266353.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.276779,,,,,,,,,,,,,,,,,,,-0.000407842,0.001534158,0.000433146,0.000048778,0.000063935,0.026032239,1.000000000,30.542415619,8.284637451,-0.522779167,0.000146867,0.000146878,0.102024883,0.982881129,-0.015447616,0.017045170,-0.182799697,0.000000000,17.000000000,1723722467270032.000000000,1723722467267638.000000000,0.001058953,0.005572252,0.110466205,1.000000000,0.001128450,0.001128431,0.003612187,-8.284637451,0.522779167
1723722467.292071,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467276383.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.294197,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467286391.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.294210,,,,,,,,,,,,,,,,,,,0.000586316,-0.000284667,0.000115818,0.000048079,0.000063379,0.026032249,1.000000000,30.542396545,8.284618378,-0.522116423,0.000060741,0.000060743,0.101356737,0.982881010,-0.015443133,0.017044917,-0.182800621,0.000000000,17.000000000,1723722467281125.000000000,1723722467280029.000000000,0.001119817,0.005832889,0.110242225,1.000000000,0.000702718,0.000702691,0.003625553,-8.284618378,0.522116423
1723722467.302499,,,,,,,,,,,,,,,,,,,0.002670273,0.000858376,0.000164600,0.000048106,0.000063447,0.026033716,1.000000000,30.542379379,8.284600258,-0.522335529,0.000063274,0.000063276,0.100231491,0.982880712,-0.015441339,0.017043857,-0.182802200,0.000000000,17.000000000,1723722467293069.000000000,1723722467291168.000000000,0.000992989,0.005847228,0.109558031,1.000000000,0.000711708,0.000711685,0.003337371,-8.284600258,0.522335529
1723722467.302800,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467296403.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.315321,,,,,,,,,,,,,,,,,,,-0.000126401,-0.000622140,0.000033296,0.000048151,0.000063495,0.026035324,1.000000000,30.542362213,8.284588814,-0.522405088,0.000066506,0.000066508,0.100386858,0.982880056,-0.015446699,0.017042765,-0.182805702,0.000000000,17.000000000,1723722467304485.000000000,1723722467302683.000000000,0.000923502,0.005924433,0.109344892,1.000000000,0.000734541,0.000734526,0.003353628,-8.284588814,0.522405088
1723722467.315924,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467306414.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.330485,,,,,,,,,,,,,,,,,,,0.000731145,0.000039937,0.000597966,0.000048205,0.000063560,0.026037155,1.000000000,30.542345047,8.284578323,-0.522465050,0.000070408,0.000070409,0.100563981,0.982879102,-0.015452796,0.017050078,-0.182809234,0.000000000,17.000000000,1723722467316001.000000000,1723722467315199.000000000,0.001021820,0.006169347,0.109468378,1.000000000,0.000763059,0.000763041,0.003374402,-8.284578323,0.522465050
1723722467.330827,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467316432.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1723722467.338634,8.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1723722467326432.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
