x,y,z,yaw,x_ref,y_ref,z_ref,yaw_ref
-4.685088157653809,0.2854140400886542,5.0179877281188965,63.198435492638765,-4.94138516923707,0.3028762428187609,5.092493630069651,-0.2564527745263001
-4.705647945404053,0.13429765403270782,5.021858215332031,63.198435492638765,-4.950020619590799,0.11782821613752678,5.090766539998905,-0.2564527745263001
-4.720651149749756,-0.026469858363270142,5.0362772941589355,61.92531387097739,-4.951748306626572,-0.06798990767036374,5.09042100259175,-0.2564527745263001
-4.724275588989258,-0.1444328725337976,5.046299457550049,61.07791728306082,-4.94656584252554,-0.25355121412114107,5.091457495411957,-0.2564527745263001
-4.722580432891846,-0.30471181869506775,5.049782752990723,61.20179381807131,-4.94138516923707,-0.34591488299004836,5.092493630069651,-0.2564527745263001
-4.717826843261719,-0.43787938356399475,5.050182819366455,61.391734633246294,-4.925853890534331,-0.5291701539637602,5.0955998858101985,-0.2564527745263001
-4.703484058380127,-0.5798007249832147,5.045720100402832,61.31761614765595,-4.903448249106425,-0.7096199182230324,5.10008101409578,-0.2564527745263001
-4.689349174499512,-0.7025544047355645,5.046106815338135,60.20546559023301,-4.874199211564672,-0.8862669292522208,5.10593082160413,-0.2564527745263001
-4.660243034362793,-0.8928288817405694,5.063423156738281,58.63724884874018,-4.838147202709225,-1.0581349562594997,5.113141223375219,-0.2564527745263001
-4.626204013824463,-1.0382684469223016,5.082061767578125,57.1866226972227,-4.795342049658357,-1.2242741792670653,5.121702253985394,-0.2564527745263001
-4.586604595184326,-1.172106504440307,5.085242748260498,57.074200285212754,-4.745842912982915,-1.3837664382433073,5.131602081320482,-0.2564527745263001
-4.534912586212158,-1.3157866001129144,5.074551582336426,57.881815944585725,-4.689718204941074,-1.5357303072678932,5.1428270229288495,-0.2564527745263001
-4.479396820068359,-1.4546246528625482,5.067583084106445,58.14980883813573,-4.62704549492646,-1.6793259656876314,5.1553615649317726,-0.2564527745263001
-4.397728443145752,-1.632370233535766,5.071229934692383,57.67361871966939,-4.557911402260263,-1.813759839342931,5.169188383465012,-0.2564527745263001
